0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
-0.278389338,-0.455624075,-0.546198468,-0.452918325,-0.1269234,-0.017011223,0.031896509,-0.012051779,0.178623624,0.261294327,0.113292216,-0.386102036,-0.30835967,-0.417588172,-0.374599494,0.062913643,-0.072391756,0.176259136,-0.594425742,-0.110916976,0.039810141,-0.14832365,-0.027662103,-0.014340933,0.054984233,-0.166342586,-0.001649676,0.056325545,0.038443477,0.066367714,0.024634758,0.211339803,-0.123708263,-0.033762812,-0.007334874,0.036193068,0.054844016,-0.336940821,0.110375812,-0.103494282,-0.367773293,0.058516256,-0.791955376,-0.588020313,-0.522364311,0.026820002,-0.023444023,0.029130153,-0.016249282,0.080395285,0.036707651,0.034099636,-0.015384342,-0.051398078,0.032296692,-0.045565004,-0.027212844,0.061020667,0.053208149,0.094851912,0.062729036,-0.037575573,-0.061326816,-0.028710753,0.05192736,0.045790774,0.020686889,0.077249895,0.047899732,-0.012155547,0.100094891,-0.086207274,-0.026038168,-0.041445324,0.067971073,0.110919443,0.004827508,-0.068786158,-0.018378729,0.041845949,-0.026714567,0.108527607,0.022941103,0.247418939,0.019811963,0.005331307,0.335939983,-0.847969863,0,0,0,0,0,0,0,0,0,0,0
-0.419259264,-0.42889518,-0.581579446,-0.454283639,-0.179115181,0.094291863,0.05539151,-0.004512872,0.102504756,0.315706423,-0.193540508,-0.451334597,-0.264428151,-0.427470378,-0.415002893,0.176618666,-0.08448873,-0.046999661,-0.69513257,-0.066161789,-0.009391123,-0.17526892,-0.196375314,-0.051001849,0.058816964,-0.254656298,-0.025892702,0.119064959,-0.005552634,0.029750128,0.057039309,0.244461765,-0.168061503,-0.11993423,0.221650143,0.006895906,0.068281866,0.430474529,0.168050691,-0.059066282,-0.347964139,0.068419784,-0.85687601,-0.69976394,-0.563937736,0.047012612,-0.034579777,0.03909464,-0.02810457,0.090916555,0.038341122,0.035965871,-0.033691989,-0.061766696,0.038630441,-0.074928348,-0.079533383,0.049241129,0.056225834,0.114958237,0.078778898,-0.054109569,-0.072518085,0.028817267,0.065697565,0.053851583,0.015884799,0.097976235,0.095119351,0.001006165,0.121534964,-0.136368265,-0.033214889,-0.062478105,0.082869894,0.13768107,0.030314929,-0.117704209,-0.020081121,0.047982106,-0.073052835,0.065552683,0.031791127,0.211194115,0.988522595,0.010050028,0.176494771,-0.866443546,0,-1.033132059,0,0,0,0,0,0,0,0,0
-0.39833486,-0.502503826,-0.5774855,-0.500360829,-0.170449803,0.025792054,-0.082726471,-0.024576354,0.189413958,0.280144657,0.12912606,-0.433049765,-0.321677651,-0.519581918,-0.467477989,0.074589636,-0.094067447,0.203515955,-0.732420748,-0.123744883,0.033545698,-0.205389582,-0.054597455,-0.035117275,-0.029412345,-0.220236429,-0.002100109,0.067809831,0.029770575,0.067808223,0.045149187,0.209890635,-0.115359304,-0.056945313,-0.001495491,0.041381017,0.071252595,-0.309249941,0.150778339,-0.120764517,-0.373996818,0.072000578,-0.926474424,-0.679985669,-0.627386202,0.036643291,-0.039520661,0.040037584,-0.031664972,0.103371272,0.049542603,0.049495328,-0.026706981,-0.036258304,0.043972827,-0.046701627,-0.053113663,0.081840972,0.06151671,0.120080613,0.08749525,-0.052527734,-0.072896709,-0.030942087,0.070488613,0.060442543,0.029195377,0.105099463,0.052767905,-0.013169019,0.109449071,-0.098637409,-0.035325169,-0.056042216,0.088928436,0.147416761,0.006737325,-0.090215923,-0.039034758,0.02976529,-0.048302262,0.126288714,0.030354049,0.263215784,0.081703171,0.032291934,0.208811274,-0.864958728,0,0,-0.379733002,0,0,0,0,0,0,0,0
-0.328836578,-0.494749123,-0.587375291,-0.506686412,-0.146556008,-0.002327167,-0.104407095,-0.007881903,0.201878401,0.289891492,0.13242026,-0.428030995,-0.334814553,-0.521996714,-0.476848664,0.075818259,-0.093964946,0.196305615,-0.72487049,-0.129047283,0.043117587,-0.215527087,-0.037232164,-0.0143315,-0.07582723,-0.193693274,-0.000320688,0.067203066,0.031097593,0.072347392,0.023396077,0.224162275,-0.128938649,-0.042365063,-0.004479393,0.041202907,0.057189898,-0.378956878,0.1440992,-0.11215967,-0.390549589,0.071180958,-0.820729285,-0.631262886,-0.625169854,0.032701889,-0.035906764,0.038004985,-0.031616102,0.097742826,0.047650876,0.044549133,-0.019926209,-0.054171721,0.040559981,-0.054472299,-0.038571788,0.076097592,0.059762039,0.11678544,0.079293082,-0.040102622,-0.071198126,-0.032921948,0.065272295,0.05608645,0.028325851,0.091448645,0.05303209,-0.014819998,0.111577968,-0.097070804,-0.035621257,-0.043212377,0.093766171,0.135346452,0.002601001,-0.073794747,-0.030169614,0.03906835,-0.032791849,0.127095118,0.024517483,0.27027101,0.063371454,0.007217742,0.402882863,-0.851253262,0,0,0,-0.449397221,0,0,0,0,0,0,0
-0.34905285,-0.559267075,-0.671525884,-0.622841002,-0.187170778,-0.004600816,0.105015415,0.038191698,0.247382902,0.314635488,0.172464714,-0.5256655,-0.388554847,-0.566297061,-0.505747054,0.083213911,-0.104484686,0.245018318,-0.936388742,-0.155611205,0.052225639,-0.206598682,-0.050991269,-0.027389417,0.131577848,-0.251280527,-0.00474122,0.080561256,0.050179881,0.088870301,0.066775626,0.252723921,-0.152443598,-0.046931678,-0.00993772,0.055752573,0.07194251,-0.451276421,0.154287946,-0.1385885,-0.50157104,0.079099062,-1.123466739,-0.870398248,-0.684550232,0.038238239,-0.030179561,0.041268336,-0.02875531,0.106407895,0.050657853,0.042126993,-0.023941214,-0.057644193,0.041064311,-0.065626181,-0.04185637,0.086359392,0.075962472,0.133525854,0.093851019,-0.058762753,-0.083982063,-0.032480651,0.072322478,0.063711193,0.028468665,0.113900756,0.064298019,-0.021786281,0.141545976,-0.113271294,-0.043935778,-0.060922317,0.114533814,0.157066934,0.01411936,-0.092371191,-0.024748108,0.042350551,-0.044727509,0.139364876,0.029246412,0.323554939,0.037085861,-0.001887755,0.532527642,-0.852099009,0,0,0,0,-0.615450168,0,0,0,0,0,0
-0.604239959,-0.586612378,-0.365305393,-0.467403967,-0.270629674,0.067746409,-0.016336764,0.002377411,0.55123207,0.224431969,-0.071578078,-0.327537892,-0.357660521,-0.21324168,-0.781650064,0.052914564,-0.06530719,0.24488932,-0.838332393,-0.109294588,-0.253674895,-0.067452285,-0.082437988,0.029722847,-0.010952677,-0.21107611,-0.055790645,-0.010679661,0.185538337,-0.045390758,0.459469446,0.173272732,-0.202539256,-0.333802309,0.025216008,0.041434051,0.23338693,0.47099924,0.142909177,-0.205800588,-0.549331031,0.130668945,-2.197284077,-1.548411667,-0.717989809,0.059639005,-0.000615413,0.05795219,-0.03695746,0.127717183,0.075818921,0.084810025,-0.061286478,-0.012873217,0.063036513,-0.078967986,-0.100930174,0.151741736,0.066365361,0.156914713,0.124824932,-0.122712577,-0.183330255,-0.085183595,0.13172684,0.086451793,0.047030825,0.164119439,0.091092069,-0.007280417,0.133924606,-0.148069644,-0.033163612,-0.081613308,0.132047747,0.195642311,0.102046469,-0.214378479,0.014359713,-0.110012426,-0.087602624,0.195003353,0.056714014,0.197484471,0.237634373,0.347987554,-1.339727305,-0.853014897,0,0,0,0,0,-1.090021144,0,0,0,0,0
-0.427081158,-0.535959621,-0.618952047,-0.586924222,-0.217154057,0.059260409,-0.142827696,-0.039091652,0.225996304,0.302508682,0.172513492,-0.533234382,-0.349876594,-0.606109668,-0.567468353,0.093403633,-0.106881031,0.240964784,-0.917156966,-0.137757556,0.04254015,-0.233377019,-0.061609872,-0.048435959,-0.060233326,-0.255599429,-0.004810326,0.101250584,0.042755138,0.092211686,0.092611883,0.229829086,-0.141610994,-0.071276511,-0.005368942,0.051337751,0.096786226,-0.355926148,0.186807374,-0.160573506,-0.425545741,0.15058083,-1.229723258,-1.002111934,-0.751477388,0.043337225,-0.047045588,0.048034337,-0.046366706,0.122304798,0.063078706,0.06024945,-0.03830166,-0.042448996,0.055723843,-0.064981671,-0.070234639,0.099168318,0.077112837,0.14761762,0.10622429,-0.069266908,-0.094960629,-0.03899603,0.090486753,0.07253338,0.036138314,0.130725114,0.064698189,-0.022307949,0.130335654,-0.119916213,-0.060486066,-0.070823528,0.106757054,0.176455028,0.014924033,-0.114567878,-0.044911821,0.024299392,-0.074343577,0.144998026,0.035173919,0.290098041,0.078377772,0.022031052,0.341977632,-0.844724488,0,0,0,0,0,0,0,0,0,0,-0.510745602
-0.528980447,-0.50007558,-0.550849926,-0.478466916,-0.189120571,0.05885624,-0.005276823,-0.010611619,0.170437926,0.281464831,0.104341528,-0.421905204,-0.33551177,-0.500364743,-0.497306159,0.064662132,-0.089245164,0.207830457,-0.698033028,-0.094532692,0.005782889,-0.210280154,-0.077002149,-0.054805797,-0.019832573,-0.267255352,-0.001450375,0.053549128,0.023902606,0.061865108,0.038085356,0.191338267,-0.104913726,-0.077853555,-0.005130867,0.041055117,0.078450557,-0.312591932,0.165298453,-0.123578966,-0.337277805,0.082877108,-0.982615486,-0.598793499,-0.676581248,0.043139801,-0.048435364,0.047812708,-0.033155046,0.110147324,0.048923406,0.054364323,-0.041326512,-0.011591437,0.05151557,-0.04234026,-0.065635406,0.08941502,0.061243316,0.12646021,0.096952743,-0.05877835,-0.076694819,-0.034010753,0.07841193,0.065131082,0.031821561,0.116107006,0.04870555,-0.013437511,0.10205947,-0.1069339,-0.036409523,-0.062240422,0.108398966,0.164173739,0.009245025,-0.104670907,-0.055778023,0.007823273,-0.073092285,0.133632071,0.02655844,0.25684633,0.048352342,0.113754788,-0.338800447,-0.852734678,0,0,0,0,0,0,-0.385609463,0,0,0,0
-0.580662986,-0.583604911,-0.624270247,-0.569553973,-0.449469397,0.285884915,1.361913102,-0.121426285,0.263402024,0.300783428,0.258336643,-0.838023517,-0.200644109,-0.225881118,-0.345232186,0.102594278,-0.125898656,0.400711002,-1.465284045,-0.082166165,-0.121700945,0.010078245,-0.152081643,-0.241193861,0.807109696,-0.510200184,-0.044133534,0.276893936,0.145753254,0.181518663,0.350341654,0.172253186,-0.091902443,-0.105064894,0.015178272,0.108644415,0.216324453,-0.15652669,0.21532205,-0.379163793,-0.534967728,0.171322665,-3.563664092,-3.020460918,-0.651142221,0.077632874,-0.007629392,0.05731186,-0.023804348,0.119792555,0.07652149,0.080378805,-0.097983261,0.025268168,0.061771846,-0.079811089,-0.146959207,0.170356677,0.123571817,0.171271465,0.19847918,-0.205748777,-0.167207423,-0.010691867,0.135321387,0.105557498,0.052519218,0.236975423,0.104656467,-0.099284229,0.18177295,-0.186912575,-0.074862028,-0.253182862,0.033408845,0.283208508,0.145689047,-0.244392108,-0.058518229,-0.018424265,-0.189691349,0.175398628,0.085780234,0.235099017,0.151169348,0.190139903,-0.930621233,-0.852014153,0,0,0,0,0,0,0,-1.258358792,0,0,0
-0.756419499,-0.628611363,-0.651329716,-0.607579649,-0.400495124,0.249170241,-1.711932138,-0.122377884,0.358013782,0.326766252,0.322739155,-0.807361115,-0.320035344,-0.833416995,-0.820250004,0.136113059,-0.160726159,0.330860539,-1.171641436,-0.192066401,-0.000396367,-0.420074622,-0.092224664,-0.125701338,-0.630289024,-0.199977046,-0.001209542,0.214094916,0.019027178,0.154074174,0.328280135,0.253873658,-0.075289267,-0.146655003,0.019381053,0.093951184,0.212746359,-0.359510587,0.308933566,-0.323429768,-0.450113252,0.156632491,-2.325346885,-1.679201239,-0.812435825,0.070770792,-0.09492957,0.076546417,-0.092863396,0.205237899,0.137946528,0.126260634,-0.066560741,0.074290013,0.106825009,-0.110535213,-0.145451341,0.181967713,0.102042977,0.222108535,0.204104868,-0.140848295,-0.179787161,-0.088017668,0.178656061,0.127981674,0.074221588,0.217757861,0.094035445,-0.028084699,0.177025279,-0.168585705,-0.062514207,-0.12548812,0.109460167,0.294168006,-0.001510303,-0.193645961,-0.097115203,-0.044756548,-0.149175615,0.241332161,0.047645115,0.309786871,0.012226928,-0.00133252,-0.546962128,-0.860580121,0,0,0,0,0,0,0,0,-1.139995102,0,0
